name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,year_label,end_label
VIENNA,NA,VIENNA,SD,CLARK,NA,NA,Clark,1888,1984,TRUE,1,163387,TRUE,96,TRUE,VIENNA,CLARK,SD,2712003,Post Office,Vienna Post Office (historical),Clark,44.70367,-97.50115,559,1,44.70367,-97.50115,1871-1920,1921-2000
LOUISVILLE,NA,LOUISVILLE,IL,CLAY,NA,NA,Clay,1839,NA,TRUE,0,96070,TRUE,NA,TRUE,LOUISVILLE,CLAY,IL,1747737,Post Office,Louisville Post Office,Clay,38.77297,-88.50085,145,1,38.77297,-88.50085,1821-1870,for business
COALTON,NA,COALTON,AL,MADISON,NA,NA,Madison,1899,1904,TRUE,6,11580,TRUE,5,TRUE,COALTON,MADISON,AL,146804,Locale,Coalton (historical),Madison,34.8195335,-86.7811111,250,1,34.8195335,-86.7811111,1871-1920,1871-1920
GULF MILLS,NA,GULF MILLS,PA,MONTGOMERY,NA,NA,Montgomery,1820,1900,TRUE,4,24305,TRUE,80,TRUE,GULF MILLS,MONTGOMERY,PA,1176308,Populated Place,Gulf Mills,Montgomery,40.0698316,-75.3399077,45,1,40.0698316,-75.3399077,1770-1820,1871-1920
KAILUA KONA,NA,KAILUA KONA,HI,HAWAII,NA,NA,HAWAII,1957,NA,TRUE,0,143608,TRUE,NA,TRUE,KAILUA KONA,HAWAII,HI,1905396,Post Office,Kailua Kona Post Office,Hawaii,19.64541,-155.9936,39,1,19.64541,-155.9936,1921-2000,for business
HART,NA,HART,TX,CASTRO,NA,NA,Castro,1900,NA,TRUE,0,140636,TRUE,NA,TRUE,HART,CASTRO,TX,2731199,Post Office,Hart Post Office,Castro,34.38596,-102.1153,1119,1,34.38596,-102.1153,1871-1920,for business
BONNIE,NA,BONNIE,WV,BRAXTON,NA,NA,Braxton,1906,1958,TRUE,1,69877,TRUE,52,TRUE,BONNIE,BRAXTON,WV,1549603,Populated Place,Bonnie,Braxton,38.7695419,-80.6931521,283,1,38.7695419,-80.6931521,1871-1920,1921-2000
MOUND CITY,NA,MOUND CITY,AR,CRITTENDEN,NA,NA,Crittenden,1852,1896,FALSE,4,38733,TRUE,44,TRUE,MOUND CITY,CRITTENDEN,AR,77699,Populated Place,Mound City,Crittenden,35.1903673,-90.1292597,67,1,35.1903673,-90.1292597,1821-1870,1871-1920
RUSSIAN RIVER,NA,RUSSIAN RIVER,CA,SONOMA,NA,NA,Sonoma,1854,1857,TRUE,8,157037,TRUE,3,TRUE,RUSSIAN RIVER,SONOMA,CA,277530,Populated Place,Russian River,Sonoma,38.61047,-122.8692,32,1,38.61047,-122.8692,1821-1870,1821-1870
SOUTH DUXBURY,NA,SOUTH DUXBURY,MA,PLYMOUTH,NA,NA,Plymouth,1870,1969,TRUE,1,53872,TRUE,99,TRUE,SOUTH DUXBURY,PLYMOUTH,MA,615382,Populated Place,South Duxbury,Plymouth,42.0231585,-70.6828145,15,1,42.0231585,-70.6828145,1821-1870,1921-2000
