name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude
MURDOCKSVILLE,NA,MURDOCKSVILLE,PA,WASHINGTON,NA,NA,Washington,1833,1923,FALSE,3,39360,FALSE,90,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PACIFIC LANDING,NA,PACIFIC LANDING,AR,CRITTENDEN,NA,NA,Crittenden,1877,1879,TRUE,8,43445,FALSE,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUNTS,NA,LUNTS,VA,AUGUSTA,NA,NA,Augusta,1902,1905,TRUE,6,96384,FALSE,3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COACHELLA,NA,COACHELLA,CA,RIVERSIDE,NA,NA,Riverside,1901,NA,TRUE,0,131632,TRUE,NA,TRUE,COACHELLA,RIVERSIDE,CA,1849452,Post Office,Coachella Post Office,Riverside,33.67801,-116.1773,-21,1,33.67801,-116.1773
EAST DOVER,NA,EAST DOVER,MI,LENAWEE,NA,NA,Lenawee,1837,1849,TRUE,7,79855,TRUE,12,TRUE,EAST DOVER,LENAWEE,MI,2465619,Post Office,East Dover Post Office,Lenawee,41.86529,-84.2363,272,1,41.86529,-84.2363
PLACER,NA,PLACER,MT,BROADWATER,NA,NA,Broadwater,1887,1892,TRUE,6,153935,TRUE,5,TRUE,PLACER,BROADWATER,MT,1762154,Post Office,Placer Post Office,Broadwater,46.4766,-111.6589,1329,1,46.4766,-111.6589
WESTBROOK,NA,WESTBROOK,GA,SUMTER,NA,NA,Sumter,1876,1877,TRUE,8,61924,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHOCCOE,NA,SHOCCOE,MS,MADISON,NA,NA,Madison,1886,1909,TRUE,4,52562,TRUE,23,TRUE,SHOCCOE,MADISON,MS,677732,Populated Place,Shoccoe,Madison,32.60986,-89.9011923,110,1,32.60986,-89.9011923
BERRIEN,NA,BERRIEN,TX,SMITH,NA,NA,Smith,1855,1856,TRUE,9,127003,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WALTERSVILLE,NA,WALTERSVILLE,MO,ADAIR,NA,NA,Adair,1854,1862,TRUE,8,60220,FALSE,8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LICK BRANCH,NA,LICK BRANCH,IN,PARKE,NA,NA,Parke,1849,1860,TRUE,7,94832,FALSE,11,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOLUALOA,NA,HOLUALOA,HI,HAWAII,NA,NA,HAWAII,1900,NA,TRUE,0,141803,TRUE,NA,TRUE,HOLUALOA,HAWAII,HI,1905367,Post Office,Holualoa Post Office,Hawaii,19.61915,-155.9486,416,1,19.61915,-155.9486
MC CROSKY,MCCROSKY,MC CROSKY,TN,BRADLEY,NA,NA,Bradley,1882,1883,TRUE,8,36140,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRANVILLE,NA,GRANVILLE,VT,ADDISON,NA,NA,Addison,1835,NA,TRUE,0,23493,TRUE,NA,TRUE,GRANVILLE,ADDISON,VT,1918111,Post Office,Granville Post Office,Addison,43.984758,-72.8461491,306,1,43.984758,-72.8461491
BOON,NA,BOON,MI,WEXFORD,NA,NA,Wexford,1889,NA,TRUE,0,69912,TRUE,NA,TRUE,BOON,WEXFORD,MI,2509233,Post Office,Boon Post Office,Wexford,44.2919876,-85.6008246,420,1,44.2919876,-85.6008246
LIBBY BUTTE,NA,LIBBY BUTTE,ND,DUNN,NA,NA,Dunn,1909,1917,TRUE,4,145902,FALSE,8,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUTTON,NA,SUTTON,AK,NA,NA,NA,NA,1948,NA,TRUE,0,160849,TRUE,NA,TRUE,SUTTON,MATANUSKA-SUSITNA,AK,2721608,Post Office,Sutton Post Office,Matanuska-Susitna,61.71046,-148.8779,148,1,61.71046,-148.8779
DEAN,NA,DEAN,OH,MONTGOMERY,NA,NA,Montgomery,1882,1914,TRUE,3,77806,FALSE,32,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEACE,NA,PEACE,GA,BAKER,NA,NA,Baker,1898,1904,FALSE,5,44220,FALSE,6,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HINES,NA,HINES,TX,TAYLOR,NA,NA,Taylor,1899,1901,TRUE,6,141573,FALSE,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JANESVILLE,NA,JANESVILLE,NY,CHAUTAUQUA,NA,NA,Chautauqua,1849,1849,TRUE,6,29106,FALSE,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDWARDSVILLE,NA,EDWARDSVILLE,KS,WYANDOTTE,NA,NA,Wyandotte,1867,NA,TRUE,0,135335,TRUE,NA,TRUE,EDWARDSVILLE,WYANDOTTE,KS,2476860,Post Office,Edwardsville Post Office,Wyandotte,39.06209,-94.82174,239,1,39.06209,-94.82174
MILFORD,NA,MILFORD,NY,OTSEGO,NA,NA,Otsego,1805,NA,TRUE,0,37307,TRUE,NA,TRUE,MILFORD,OTSEGO,NY,2598929,Post Office,Milford Post Office,Otsego,42.5887904,-74.9468291,366,1,42.5887904,-74.9468291
FINCHVILLE,NA,FINCHVILLE,MD,DORCHESTER,NA,NA,Dorchester,1879,1903,TRUE,5,82586,TRUE,24,TRUE,FINCHVILLE,DORCHESTER,MD,590208,Populated Place,Finchville,Dorchester,38.63206,-75.77104,12,1,38.63206,-75.77104
WASHBURN,NA,WASHBURN,IA,FRANKLIN,NA,NA,Franklin,1869,1872,TRUE,8,120491,TRUE,3,TRUE,WASHBURN,FRANKLIN,IA,1944690,Post Office,Washburn Post Office (historical),Franklin,42.84164,-93.16131,323,1,42.84164,-93.16131
CASSAPOLIS,NA,CASSAPOLIS,MI,CASS,NA,NA,Cass,1832,1870,TRUE,2,73101,TRUE,38,TRUE,CASSAPOLIS,CASS,MI,2414414,Post Office,Cassapolis Post Office,Cass,41.91031,-86.01098,268,1,41.91031,-86.01098
TRINITY,NA,TRINITY,TX,TRINITY,NA,NA,Trinity,1872,NA,TRUE,0,162246,TRUE,NA,TRUE,TRINITY,TRINITY,TX,2731654,Post Office,Trinity Post Office,Trinity,30.94533,-95.376,71,1,30.94533,-95.376
CLEARWATER,NA,CLEARWATER,ID,IDAHO,NA,NA,Idaho,1872,1984,TRUE,1,131391,TRUE,112,TRUE,CLEARWATER,IDAHO,ID,372052,Populated Place,Clearwater,Idaho,46.02239,-115.891,777,1,46.02239,-115.891
WIGHTMAN,NA,WIGHTMAN,VA,MECKLENBURG,NA,NA,Mecklenburg,1888,1960,TRUE,1,122098,TRUE,72,TRUE,WIGHTMAN,MECKLENBURG,VA,1477879,Populated Place,Wightman,Mecklenburg,36.79014,-78.30278,130,1,36.79014,-78.30278
OLIVER'S CROSS ROADS,OLIVERS CROSS ROADS,OLIVER'S CROSS ROADS,VA,SUSSEX,NA,NA,Sussex,1832,1833,TRUE,9,103936,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LANGWORTHY'S STORE,LANGWORTHYS STORE,LANGWORTHY'S STORE,VA,PRINCE EDWARD,NA,NA,Prince Edward,1827,1883,TRUE,6,93786,FALSE,56,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRENCH TOWN,NA,FRENCH TOWN,WI,WOOD,NA,NA,Wood,1859,1864,TRUE,8,83936,TRUE,5,TRUE,FRENCHTOWN,WOOD,WI,1571796,Populated Place,Frenchtown,Wood,44.3508,-89.8654,297,0.9090909,44.3508,-89.8654
FLOWER DALE,NA,FLOWER DALE,AL,BARBOUR,NA,NA,Barbour,1872,1874,TRUE,8,20430,FALSE,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAST RIVERTON,NA,EAST RIVERTON,MI,MASON,NA,NA,Mason,1875,1888,TRUE,8,79972,TRUE,13,TRUE,EAST RIVERTON,MASON,MI,2514339,Post Office,East Riverton Post Office (historical),Mason,43.91889,-86.27889,198,1,43.91889,-86.27889
BURNWELL MINES,NA,BURNWELL MINES,AL,WALKER,NA,NA,Walker,1909,1922,FALSE,3,7958,TRUE,13,TRUE,BURNWELL MINES,WALKER,AL,142287,Mine,Burnwell Mines,Walker,33.6959397,-87.1027769,102,1,33.6959397,-87.1027769
ANGORA,NA,ANGORA,AR,STONE,NA,NA,Stone,1906,1913,FALSE,5,1313,TRUE,7,TRUE,ANGORA,STONE,AR,45873,Church,Angora Church,Stone,35.7842435,-92.3884912,423,NA,35.7842435,-92.3884912
CHILDS,NA,CHILDS,MD,CECIL,NA,NA,Cecil,1887,NA,TRUE,0,74163,TRUE,NA,TRUE,CHILDS,CECIL,MD,595382,Post Office,Childs Post Office,Cecil,39.64989,-75.87531,70,1,39.64989,-75.87531
BELSENA MILLS,NA,BELSENA MILLS,PA,CLEARFIELD,NA,NA,Clearfield,1887,1919,TRUE,3,4172,TRUE,32,TRUE,BELSENA MILLS,CLEARFIELD,PA,1169211,Populated Place,Belsena Mills,Clearfield,40.8489484,-78.4430763,411,1,40.8489484,-78.4430763
TOWNSEND,NA,TOWNSEND,PA,CHESTER,NA,NA,Chester,1881,1896,TRUE,5,57879,FALSE,15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AYLMER,NA,AYLMER,GA,BARTOW,NA,NA,Bartow,1894,1902,TRUE,5,2476,TRUE,8,TRUE,AYLMER,BARTOW,GA,334231,Populated Place,Aylmer (historical),Bartow,34.1917626,-84.9252203,209,1,34.1917626,-84.9252203
